"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","@regression Проверка текста элементов навигации","chromium","Wed Apr 01 07:55:37 UTC 2026","passed","Wed Apr 01 07:55:37 UTC 2026","Тесты главной страницы","tests/e2e/mainPage.spec.ts","",""
"","343","@smoke @regression Проверка отображения элементов","chromium","Wed Apr 01 07:55:36 UTC 2026","passed","Wed Apr 01 07:55:36 UTC 2026","Тесты главной страницы","tests/e2e/mainPage.spec.ts","",""
"","267","@regression Проверка соответствия ссылок элементов навигации","chromium","Wed Apr 01 07:55:37 UTC 2026","passed","Wed Apr 01 07:55:38 UTC 2026","Тесты главной страницы","tests/e2e/mainPage.spec.ts","",""
"","490","@regression Проверка темы страницы light","chromium","Wed Apr 01 07:55:38 UTC 2026","passed","Wed Apr 01 07:55:38 UTC 2026","Тесты главной страницы","tests/e2e/mainPage.spec.ts","",""
"","561","@api User Controller test API","chromium","Wed Apr 01 07:55:34 UTC 2026","passed","Wed Apr 01 07:55:35 UTC 2026","","tests/api/userAPI.spec.ts","",""
"","321","@regression Проверка переключения темы в header","chromium","Wed Apr 01 07:55:38 UTC 2026","passed","Wed Apr 01 07:55:38 UTC 2026","Тесты главной страницы","tests/e2e/mainPage.spec.ts","",""
"","526","@regression Проверка темы страницы dark","chromium","Wed Apr 01 07:55:39 UTC 2026","passed","Wed Apr 01 07:55:39 UTC 2026","Тесты главной страницы","tests/e2e/mainPage.spec.ts","",""
